//U6O MapEdit Full Export V1.23
//house costs
patchx=0; patchy=0; //always 0 so far

housenumber=65535;//Non house tiles
BTset(1135,914,144);
BTset(1136,914,144);
BTset(1137,914,144);
BTset(1138,914,144);
BTset(1139,914,144);
BTset(1140,914,144);
BTset(1141,914,144);
BTset(1142,914,144);
BTset(1143,914,144);
BTset(1144,914,154);
BTset(1149,914,240);
BTset(1150,914,241);
BTset(1151,914,241);
BTset(1152,914,241);
BTset(1153,914,241);
BTset(1154,914,241);
BTset(1155,914,241);
BTset(1156,914,241);
BTset(1157,914,241);
BTset(1158,914,241);
BTset(1159,914,241);
BTset(1160,914,241);
BTset(1161,914,241);
BTset(1162,914,241);
BTset(1163,914,241);
BTset(1164,914,241);
BTset(1165,914,241);
BTset(1166,914,241);
BTset(1167,914,241);
BTset(1168,914,241);
BTset(1169,914,242);
BTset(1170,914,240);
BTset(1171,914,241);
BTset(1172,914,241);
BTset(1173,914,241);
BTset(1174,914,241);
BTset(1175,914,241);
BTset(1176,914,241);
BTset(1177,914,241);
BTset(1178,914,241);
BTset(1179,914,241);
BTset(1180,914,241);
BTset(1181,914,242);
BTset(1185,914,240);
BTset(1186,914,241);
BTset(1187,914,241);
BTset(1188,914,241);
BTset(1189,914,241);
BTset(1190,914,241);
BTset(1191,914,241);
BTset(1192,914,241);
BTset(1193,914,241);
BTset(1194,914,241);
BTset(1195,914,241);
BTset(1196,914,241);
BTset(1197,914,241);
BTset(1198,914,241);
BTset(1199,914,241);
BTset(1200,914,241);
BTset(1201,914,241);
BTset(1202,914,241);
BTset(1203,914,241);
BTset(1204,914,242);
BTset(1210,914,240);
BTset(1211,914,241);
BTset(1212,914,241);
BTset(1213,914,241);
BTset(1214,914,241);
BTset(1215,914,241);
BTset(1224,914,1);
BTset(1229,914,1);
BTset(1236,914,1);
BTset(1237,914,1);
BTset(1238,914,1);
BTset(1245,914,1);
BTset(1255,914,1);
BTset(1259,914,1);
BTset(1260,914,1);
BTset(1263,914,1);
BTset(1265,914,1);
BTset(1266,914,1);
BTset(1024,915,145);
BTset(1025,915,211);
BTset(1026,915,211);
BTset(1027,915,211);
BTset(1028,915,211);
BTset(1029,915,211);
BTset(1030,915,211);
BTset(1031,915,145);
BTset(1032,915,247);
BTset(1033,915,108);
BTset(1034,915,108);
BTset(1035,915,108);
BTset(1036,915,108);
BTset(1037,915,108);
BTset(1038,915,108);
BTset(1039,915,108);
BTset(1040,915,108);
BTset(1041,915,108);
BTset(1042,915,108);
BTset(1043,915,108);
BTset(1044,915,108);
BTset(1045,915,251);
BTset(1046,915,241);
BTset(1047,915,241);
BTset(1048,915,241);
BTset(1049,915,250);
BTset(1050,915,108);
BTset(1051,915,108);
BTset(1052,915,210);
BTset(1053,915,210);
BTset(1054,915,210);
BTset(1055,915,210);
BTset(1056,915,210);
BTset(1057,915,210);
BTset(1058,915,210);
BTset(1059,915,210);
BTset(1060,915,210);
BTset(1061,915,210);
BTset(1062,915,210);
BTset(1063,915,210);
BTset(1064,915,210);
BTset(1065,915,210);
BTset(1066,915,210);
BTset(1067,915,210);
BTset(1068,915,210);
BTset(1069,915,210);
BTset(1070,915,210);
BTset(1071,915,210);
BTset(1072,915,210);
BTset(1073,915,210);
BTset(1074,915,210);
BTset(1075,915,210);
BTset(1076,915,210);
BTset(1077,915,210);
BTset(1078,915,210);
BTset(1079,915,210);
BTset(1080,915,210);
BTset(1081,915,210);
BTset(1082,915,210);
BTset(1083,915,210);
BTset(1084,915,210);
BTset(1085,915,210);
BTset(1086,915,210);
BTset(1087,915,210);
BTset(1088,915,210);
BTset(1089,915,210);
BTset(1090,915,210);
BTset(1091,915,210);
BTset(1092,915,210);
BTset(1093,915,210);
BTset(1094,915,210);
BTset(1095,915,210);
BTset(1096,915,210);
BTset(1097,915,210);
BTset(1098,915,210);
BTset(1099,915,210);
BTset(1100,915,210);
BTset(1101,915,210);
BTset(1102,915,210);
BTset(1103,915,210);
BTset(1104,915,210);
BTset(1105,915,210);
BTset(1106,915,210);
BTset(1107,915,210);
BTset(1108,915,210);
BTset(1109,915,210);
BTset(1110,915,210);
BTset(1111,915,210);
BTset(1112,915,210);
BTset(1113,915,210);
BTset(1114,915,210);
BTset(1115,915,210);
BTset(1116,915,210);
BTset(1117,915,210);
BTset(1118,915,210);
BTset(1119,915,210);
BTset(1120,915,210);
BTset(1121,915,210);
BTset(1122,915,210);
BTset(1123,915,210);
BTset(1124,915,210);
BTset(1125,915,210);
BTset(1126,915,210);
BTset(1127,915,210);
BTset(1128,915,210);
BTset(1129,915,210);
BTset(1130,915,210);
BTset(1131,915,210);
BTset(1132,915,210);
BTset(1133,915,210);
BTset(1134,915,210);
BTset(1135,915,210);
BTset(1136,915,210);
BTset(1137,915,210);
BTset(1138,915,210);
BTset(1139,915,210);
BTset(1140,915,210);
BTset(1141,915,210);
BTset(1142,915,210);
BTset(1143,915,210);
BTset(1144,915,145);
BTset(1147,915,240);
BTset(1148,915,241);
BTset(1149,915,250);
BTset(1150,915,111);
BTset(1151,915,108);
BTset(1152,915,108);
BTset(1153,915,109);
BTset(1154,915,108);
BTset(1155,915,111);
BTset(1156,915,108);
BTset(1157,915,110);
BTset(1158,915,108);
BTset(1159,915,108);
BTset(1160,915,110);
BTset(1161,915,111);
BTset(1162,915,108);
BTset(1163,915,109);
BTset(1164,915,109);
BTset(1165,915,108);
BTset(1166,915,108);
BTset(1167,915,111);
BTset(1168,915,108);
BTset(1169,915,251);
BTset(1170,915,250);
BTset(1171,915,108);
BTset(1172,915,110);
BTset(1173,915,108);
BTset(1174,915,108);
BTset(1175,915,111);
BTset(1176,915,110);
BTset(1177,915,108);
BTset(1178,915,108);
BTset(1179,915,111);
BTset(1180,915,108);
BTset(1181,915,251);
BTset(1182,915,241);
BTset(1183,915,241);
BTset(1184,915,241);
BTset(1185,915,250);
BTset(1186,915,108);
BTset(1187,915,109);
BTset(1188,915,108);
BTset(1189,915,110);
BTset(1190,915,108);
BTset(1191,915,110);
BTset(1192,915,109);
BTset(1193,915,108);
BTset(1194,915,111);
BTset(1195,915,108);
BTset(1196,915,109);
BTset(1197,915,108);
BTset(1198,915,111);
BTset(1199,915,108);
BTset(1200,915,108);
BTset(1201,915,109);
BTset(1202,915,110);
BTset(1203,915,108);
BTset(1204,915,251);
BTset(1205,915,241);
BTset(1206,915,241);
BTset(1207,915,241);
BTset(1208,915,241);
BTset(1209,915,241);
BTset(1210,915,250);
BTset(1211,915,108);
BTset(1212,915,109);
BTset(1213,915,108);
BTset(1214,915,111);
BTset(1215,915,110);
BTset(1024,916,145);
BTset(1025,916,211);
BTset(1026,916,211);
BTset(1027,916,211);
BTset(1028,916,211);
BTset(1029,916,211);
BTset(1030,916,211);
BTset(1031,916,145);
BTset(1032,916,247);
BTset(1033,916,108);
BTset(1034,916,108);
BTset(1035,916,108);
BTset(1036,916,108);
BTset(1037,916,108);
BTset(1038,916,108);
BTset(1039,916,108);
BTset(1040,916,108);
BTset(1041,916,108);
BTset(1042,916,108);
BTset(1043,916,108);
BTset(1044,916,108);
BTset(1045,916,108);
BTset(1046,916,108);
BTset(1047,916,108);
BTset(1048,916,108);
BTset(1049,916,108);
BTset(1050,916,108);
BTset(1051,916,108);
BTset(1052,916,210);
BTset(1053,916,210);
BTset(1054,916,210);
BTset(1055,916,210);
BTset(1056,916,210);
BTset(1057,916,210);
BTset(1058,916,210);
BTset(1059,916,210);
BTset(1060,916,210);
BTset(1061,916,210);
BTset(1062,916,210);
BTset(1063,916,210);
BTset(1064,916,210);
BTset(1065,916,210);
BTset(1066,916,210);
BTset(1067,916,210);
BTset(1068,916,210);
BTset(1069,916,210);
BTset(1070,916,210);
BTset(1071,916,210);
BTset(1072,916,210);
BTset(1073,916,210);
BTset(1074,916,210);
BTset(1075,916,210);
BTset(1076,916,210);
BTset(1077,916,210);
BTset(1078,916,210);
BTset(1079,916,210);
BTset(1080,916,210);
BTset(1081,916,210);
BTset(1082,916,210);
BTset(1083,916,210);
BTset(1084,916,210);
BTset(1085,916,210);
BTset(1086,916,210);
BTset(1087,916,210);
BTset(1088,916,210);
BTset(1089,916,210);
BTset(1090,916,210);
BTset(1091,916,210);
BTset(1092,916,210);
BTset(1093,916,210);
BTset(1094,916,210);
BTset(1095,916,210);
BTset(1096,916,210);
BTset(1097,916,210);
BTset(1098,916,210);
BTset(1099,916,210);
BTset(1100,916,210);
BTset(1101,916,210);
BTset(1102,916,210);
BTset(1103,916,210);
BTset(1104,916,210);
BTset(1105,916,210);
BTset(1106,916,210);
BTset(1107,916,210);
BTset(1108,916,210);
BTset(1109,916,210);
BTset(1110,916,210);
BTset(1111,916,210);
BTset(1112,916,210);
BTset(1113,916,210);
BTset(1114,916,210);
BTset(1115,916,210);
BTset(1116,916,210);
BTset(1117,916,210);
BTset(1118,916,210);
BTset(1119,916,210);
BTset(1120,916,210);
BTset(1121,916,210);
BTset(1122,916,210);
BTset(1123,916,210);
BTset(1124,916,210);
BTset(1125,916,210);
BTset(1126,916,210);
BTset(1127,916,210);
BTset(1128,916,210);
BTset(1129,916,210);
BTset(1130,916,210);
BTset(1131,916,210);
BTset(1132,916,210);
BTset(1133,916,210);
BTset(1134,916,210);
BTset(1135,916,210);
BTset(1136,916,210);
BTset(1137,916,210);
BTset(1138,916,210);
BTset(1139,916,210);
BTset(1140,916,210);
BTset(1141,916,210);
BTset(1142,916,210);
BTset(1143,916,210);
BTset(1144,916,145);
BTset(1146,916,240);
BTset(1147,916,250);
BTset(1148,916,108);
BTset(1149,916,108);
BTset(1150,916,108);
BTset(1151,916,108);
BTset(1152,916,109);
BTset(1153,916,108);
BTset(1154,916,110);
BTset(1155,916,108);
BTset(1156,916,108);
BTset(1157,916,109);
BTset(1158,916,108);
BTset(1159,916,111);
BTset(1160,916,108);
BTset(1161,916,108);
BTset(1162,916,109);
BTset(1163,916,110);
BTset(1164,916,110);
BTset(1165,916,248);
BTset(1166,916,245);
BTset(1167,916,249);
BTset(1168,916,111);
BTset(1169,916,108);
BTset(1170,916,109);
BTset(1171,916,111);
BTset(1172,916,108);
BTset(1173,916,111);
BTset(1174,916,108);
BTset(1175,916,108);
BTset(1176,916,108);
BTset(1177,916,248);
BTset(1178,916,245);
BTset(1179,916,249);
BTset(1180,916,108);
BTset(1181,916,111);
BTset(1182,916,108);
BTset(1183,916,109);
BTset(1184,916,111);
BTset(1185,916,108);
BTset(1186,916,110);
BTset(1187,916,108);
BTset(1188,916,111);
BTset(1189,916,108);
BTset(1190,916,109);
BTset(1191,916,108);
BTset(1192,916,111);
BTset(1193,916,248);
BTset(1194,916,245);
BTset(1195,916,245);
BTset(1196,916,245);
BTset(1197,916,245);
BTset(1198,916,249);
BTset(1199,916,110);
BTset(1200,916,109);
BTset(1201,916,108);
BTset(1202,916,111);
BTset(1203,916,109);
BTset(1204,916,108);
BTset(1205,916,109);
BTset(1206,916,108);
BTset(1207,916,109);
BTset(1208,916,111);
BTset(1209,916,109);
BTset(1210,916,108);
BTset(1211,916,110);
BTset(1212,916,108);
BTset(1213,916,111);
BTset(1214,916,109);
BTset(1215,916,108);
BTset(1024,917,145);
BTset(1025,917,211);
BTset(1026,917,211);
BTset(1027,917,211);
BTset(1028,917,211);
BTset(1029,917,211);
BTset(1030,917,211);
BTset(1031,917,145);
BTset(1032,917,247);
BTset(1033,917,108);
BTset(1034,917,108);
BTset(1035,917,108);
BTset(1036,917,108);
BTset(1037,917,108);
BTset(1038,917,108);
BTset(1039,917,108);
BTset(1040,917,108);
BTset(1041,917,108);
BTset(1042,917,108);
BTset(1043,917,108);
BTset(1044,917,108);
BTset(1045,917,108);
BTset(1046,917,108);
BTset(1047,917,108);
BTset(1048,917,108);
BTset(1049,917,108);
BTset(1050,917,108);
BTset(1051,917,145);
BTset(1052,917,210);
BTset(1053,917,210);
BTset(1054,917,210);
BTset(1055,917,210);
BTset(1056,917,210);
BTset(1057,917,210);
BTset(1058,917,210);
BTset(1059,917,210);
BTset(1060,917,210);
BTset(1061,917,210);
BTset(1062,917,210);
BTset(1063,917,210);
BTset(1064,917,210);
BTset(1065,917,210);
BTset(1066,917,210);
BTset(1067,917,210);
BTset(1068,917,210);
BTset(1069,917,210);
BTset(1070,917,210);
BTset(1071,917,210);
BTset(1072,917,210);
BTset(1073,917,210);
BTset(1074,917,210);
BTset(1075,917,210);
BTset(1076,917,210);
BTset(1077,917,210);
BTset(1078,917,210);
BTset(1079,917,210);
BTset(1080,917,210);
BTset(1081,917,210);
BTset(1082,917,210);
BTset(1083,917,210);
BTset(1084,917,210);
BTset(1085,917,210);
BTset(1086,917,210);
BTset(1087,917,210);
BTset(1088,917,210);
BTset(1089,917,210);
BTset(1090,917,210);
BTset(1091,917,210);
BTset(1092,917,210);
BTset(1093,917,210);
BTset(1094,917,210);
BTset(1095,917,210);
BTset(1096,917,210);
BTset(1097,917,210);
BTset(1098,917,210);
BTset(1099,917,210);
BTset(1100,917,210);
BTset(1101,917,210);
BTset(1102,917,210);
BTset(1103,917,210);
BTset(1104,917,210);
BTset(1105,917,210);
BTset(1106,917,210);
BTset(1107,917,210);
BTset(1108,917,210);
BTset(1109,917,210);
BTset(1110,917,210);
BTset(1111,917,210);
BTset(1112,917,210);
BTset(1113,917,210);
BTset(1114,917,210);
BTset(1115,917,210);
BTset(1116,917,210);
BTset(1117,917,210);
BTset(1118,917,210);
BTset(1119,917,210);
BTset(1120,917,210);
BTset(1121,917,210);
BTset(1122,917,210);
BTset(1123,917,210);
BTset(1124,917,210);
BTset(1125,917,210);
BTset(1126,917,210);
BTset(1127,917,210);
BTset(1128,917,210);
BTset(1129,917,210);
BTset(1130,917,210);
BTset(1131,917,210);
BTset(1132,917,210);
BTset(1133,917,210);
BTset(1134,917,210);
BTset(1135,917,210);
BTset(1136,917,210);
BTset(1137,917,210);
BTset(1138,917,210);
BTset(1139,917,210);
BTset(1140,917,210);
BTset(1141,917,210);
BTset(1142,917,210);
BTset(1143,917,210);
BTset(1144,917,145);
BTset(1145,917,240);
BTset(1146,917,250);
BTset(1147,917,108);
BTset(1148,917,109);
BTset(1149,917,109);
BTset(1150,917,248);
BTset(1151,917,245);
BTset(1152,917,245);
BTset(1153,917,245);
BTset(1154,917,245);
BTset(1155,917,245);
BTset(1156,917,245);
BTset(1157,917,245);
BTset(1158,917,245);
BTset(1159,917,245);
BTset(1160,917,245);
BTset(1161,917,245);
BTset(1162,917,245);
BTset(1163,917,245);
BTset(1164,917,245);
BTset(1165,917,244);
BTset(1167,917,246);
BTset(1168,917,245);
BTset(1169,917,245);
BTset(1170,917,249);
BTset(1171,917,108);
BTset(1172,917,109);
BTset(1173,917,248);
BTset(1174,917,245);
BTset(1175,917,245);
BTset(1176,917,245);
BTset(1177,917,244);
BTset(1179,917,246);
BTset(1180,917,245);
BTset(1181,917,245);
BTset(1182,917,245);
BTset(1183,917,245);
BTset(1184,917,245);
BTset(1185,917,245);
BTset(1186,917,245);
BTset(1187,917,245);
BTset(1188,917,245);
BTset(1189,917,245);
BTset(1190,917,245);
BTset(1191,917,245);
BTset(1192,917,245);
BTset(1193,917,244);
BTset(1198,917,246);
BTset(1199,917,245);
BTset(1200,917,245);
BTset(1201,917,245);
BTset(1202,917,245);
BTset(1203,917,245);
BTset(1204,917,245);
BTset(1205,917,245);
BTset(1206,917,245);
BTset(1207,917,245);
BTset(1208,917,245);
BTset(1209,917,245);
BTset(1210,917,245);
BTset(1211,917,245);
BTset(1212,917,245);
BTset(1213,917,245);
BTset(1214,917,245);
BTset(1265,917,1);
BTset(1266,917,1);
BTset(1024,918,146);
BTset(1025,918,144);
BTset(1026,918,144);
BTset(1027,918,144);
BTset(1028,918,144);
BTset(1029,918,211);
BTset(1030,918,144);
BTset(1031,918,145);
BTset(1032,918,247);
BTset(1033,918,108);
BTset(1034,918,108);
BTset(1035,918,108);
BTset(1036,918,108);
BTset(1037,918,108);
BTset(1038,918,108);
BTset(1039,918,108);
BTset(1040,918,248);
BTset(1041,918,245);
BTset(1042,918,245);
BTset(1043,918,245);
BTset(1044,918,245);
BTset(1045,918,245);
BTset(1046,918,245);
BTset(1047,918,245);
BTset(1048,918,245);
BTset(1049,918,245);
BTset(1050,918,249);
BTset(1051,918,155);
BTset(1052,918,144);
BTset(1053,918,144);
BTset(1054,918,144);
BTset(1055,918,144);
BTset(1056,918,144);
BTset(1057,918,144);
BTset(1058,918,144);
BTset(1059,918,144);
BTset(1060,918,144);
BTset(1061,918,144);
BTset(1062,918,144);
BTset(1063,918,144);
BTset(1064,918,144);
BTset(1065,918,144);
BTset(1066,918,144);
BTset(1067,918,144);
BTset(1068,918,144);
BTset(1069,918,144);
BTset(1070,918,144);
BTset(1071,918,144);
BTset(1072,918,144);
BTset(1073,918,144);
BTset(1074,918,144);
BTset(1075,918,144);
BTset(1076,918,144);
BTset(1077,918,144);
BTset(1078,918,144);
BTset(1079,918,144);
BTset(1080,918,144);
BTset(1081,918,144);
BTset(1082,918,144);
BTset(1083,918,144);
BTset(1084,918,146);
BTset(1085,918,144);
BTset(1086,918,144);
BTset(1087,918,144);
BTset(1088,918,144);
BTset(1089,918,144);
BTset(1090,918,144);
BTset(1091,918,144);
BTset(1092,918,144);
BTset(1093,918,144);
BTset(1094,918,144);
BTset(1095,918,144);
BTset(1096,918,144);
BTset(1097,918,144);
BTset(1098,918,144);
BTset(1099,918,144);
BTset(1100,918,144);
BTset(1101,918,144);
BTset(1102,918,144);
BTset(1103,918,144);
BTset(1104,918,144);
BTset(1105,918,144);
BTset(1106,918,144);
BTset(1107,918,144);
BTset(1108,918,144);
BTset(1109,918,144);
BTset(1110,918,144);
BTset(1111,918,144);
BTset(1112,918,144);
BTset(1113,918,144);
BTset(1114,918,144);
BTset(1115,918,144);
BTset(1116,918,144);
BTset(1117,918,144);
BTset(1118,918,144);
BTset(1119,918,144);
BTset(1120,918,144);
BTset(1121,918,144);
BTset(1122,918,144);
BTset(1123,918,144);
BTset(1124,918,144);
BTset(1125,918,144);
BTset(1126,918,144);
BTset(1127,918,144);
BTset(1128,918,144);
BTset(1129,918,144);
BTset(1130,918,144);
BTset(1131,918,144);
BTset(1132,918,144);
BTset(1133,918,144);
BTset(1134,918,144);
BTset(1135,918,144);
BTset(1136,918,144);
BTset(1137,918,144);
BTset(1138,918,144);
BTset(1139,918,144);
BTset(1140,918,156);
BTset(1141,918,210);
BTset(1142,918,210);
BTset(1143,918,210);
BTset(1144,918,145);
BTset(1145,918,247);
BTset(1146,918,108);
BTset(1147,918,109);
BTset(1148,918,108);
BTset(1149,918,248);
BTset(1150,918,244);
BTset(1151,918,240);
BTset(1152,918,241);
BTset(1153,918,241);
BTset(1154,918,241);
BTset(1155,918,242);
BTset(1159,918,240);
BTset(1160,918,241);
BTset(1161,918,241);
BTset(1162,918,241);
BTset(1163,918,241);
BTset(1164,918,241);
BTset(1165,918,241);
BTset(1166,918,241);
BTset(1167,918,241);
BTset(1168,918,241);
BTset(1169,918,242);
BTset(1170,918,246);
BTset(1171,918,245);
BTset(1172,918,245);
BTset(1173,918,244);
BTset(1174,918,240);
BTset(1175,918,241);
BTset(1176,918,241);
BTset(1177,918,241);
BTset(1178,918,241);
BTset(1179,918,241);
BTset(1180,918,241);
BTset(1181,918,241);
BTset(1182,918,241);
BTset(1183,918,241);
BTset(1184,918,241);
BTset(1185,918,241);
BTset(1186,918,241);
BTset(1187,918,241);
BTset(1188,918,241);
BTset(1189,918,241);
BTset(1190,918,242);
BTset(1194,918,240);
BTset(1195,918,241);
BTset(1196,918,241);
BTset(1197,918,241);
BTset(1198,918,241);
BTset(1199,918,241);
BTset(1200,918,241);
BTset(1201,918,241);
BTset(1202,918,241);
BTset(1203,918,241);
BTset(1204,918,241);
BTset(1205,918,241);
BTset(1206,918,241);
BTset(1207,918,241);
BTset(1208,918,241);
BTset(1209,918,241);
BTset(1210,918,241);
BTset(1211,918,241);
BTset(1212,918,241);
BTset(1213,918,241);
BTset(1214,918,242);
BTset(1024,919,145);
BTset(1025,919,210);
BTset(1026,919,210);
BTset(1027,919,210);
BTset(1028,919,210);
BTset(1029,919,210);
BTset(1030,919,210);
BTset(1031,919,145);
BTset(1032,919,246);
BTset(1033,919,245);
BTset(1034,919,245);
BTset(1035,919,245);
BTset(1036,919,245);
BTset(1037,919,245);
BTset(1038,919,245);
BTset(1039,919,245);
BTset(1040,919,244);
BTset(1050,919,246);
BTset(1051,919,245);
BTset(1052,919,245);
BTset(1053,919,244);
BTset(1084,919,145);
BTset(1085,919,210);
BTset(1086,919,210);
BTset(1087,919,210);
BTset(1088,919,210);
BTset(1089,919,210);
BTset(1090,919,210);
BTset(1091,919,210);
BTset(1092,919,210);
BTset(1093,919,210);
BTset(1094,919,210);
BTset(1095,919,210);
BTset(1096,919,210);
BTset(1097,919,210);
BTset(1098,919,210);
BTset(1099,919,210);
BTset(1100,919,210);
BTset(1101,919,210);
BTset(1102,919,210);
BTset(1103,919,210);
BTset(1104,919,210);
BTset(1105,919,210);
BTset(1106,919,210);
BTset(1107,919,210);
BTset(1108,919,210);
BTset(1109,919,210);
BTset(1110,919,210);
BTset(1111,919,210);
BTset(1112,919,210);
BTset(1113,919,210);
BTset(1114,919,210);
BTset(1115,919,210);
BTset(1116,919,210);
BTset(1117,919,210);
BTset(1118,919,210);
BTset(1119,919,210);
BTset(1120,919,210);
BTset(1121,919,210);
BTset(1122,919,210);
BTset(1123,919,210);
BTset(1124,919,210);
BTset(1125,919,210);
BTset(1126,919,210);
BTset(1127,919,210);
BTset(1128,919,210);
BTset(1129,919,210);
BTset(1130,919,210);
BTset(1131,919,210);
BTset(1132,919,210);
BTset(1133,919,210);
BTset(1134,919,210);
BTset(1135,919,210);
BTset(1136,919,210);
BTset(1137,919,210);
BTset(1138,919,210);
BTset(1139,919,210);
BTset(1140,919,145);
BTset(1141,919,210);
BTset(1142,919,210);
BTset(1143,919,210);
BTset(1144,919,145);
BTset(1145,919,247);
BTset(1146,919,111);
BTset(1147,919,108);
BTset(1148,919,248);
BTset(1149,919,244);
BTset(1150,919,240);
BTset(1151,919,250);
BTset(1152,919,108);
BTset(1153,919,108);
BTset(1154,919,108);
BTset(1155,919,251);
BTset(1156,919,241);
BTset(1157,919,241);
BTset(1158,919,241);
BTset(1159,919,250);
BTset(1160,919,108);
BTset(1161,919,109);
BTset(1162,919,108);
BTset(1163,919,109);
BTset(1164,919,108);
BTset(1165,919,108);
BTset(1166,919,108);
BTset(1167,919,108);
BTset(1168,919,109);
BTset(1169,919,251);
BTset(1170,919,241);
BTset(1171,919,241);
BTset(1172,919,241);
BTset(1173,919,241);
BTset(1174,919,250);
BTset(1175,919,108);
BTset(1176,919,111);
BTset(1177,919,108);
BTset(1178,919,110);
BTset(1179,919,108);
BTset(1180,919,108);
BTset(1181,919,109);
BTset(1182,919,108);
BTset(1183,919,111);
BTset(1184,919,108);
BTset(1185,919,108);
BTset(1186,919,111);
BTset(1187,919,108);
BTset(1188,919,110);
BTset(1189,919,109);
BTset(1190,919,251);
BTset(1191,919,241);
BTset(1192,919,241);
BTset(1193,919,241);
BTset(1194,919,250);
BTset(1195,919,108);
BTset(1196,919,108);
BTset(1197,919,111);
